"19820","1","21","42.01","2020-11-19 00:54:38"
"19821","1","22","2.295","2020-11-19 00:54:38"
"19829","4","21","42.01","2020-11-19 00:54:38"
"19830","4","22","1.423","2020-11-19 00:54:38"
"19832","1","21","41.93","2020-11-19 00:55:08"
"19833","1","22","2.246","2020-11-19 00:55:08"
"19841","4","21","42.01","2020-11-19 00:55:08"
"19842","4","22","1.401","2020-11-19 00:55:08"
"19844","1","21","42.01","2020-11-19 00:55:38"
"19845","1","22","2.49","2020-11-19 00:55:38"
"19853","4","21","42.01","2020-11-19 00:55:38"
"19854","4","22","1.377","2020-11-19 00:55:38"
"19856","1","21","42.01","2020-11-19 00:56:08"
"19857","1","22","2.139","2020-11-19 00:56:08"
"19865","4","21","42.01","2020-11-19 00:56:08"
"19866","4","22","1.354","2020-11-19 00:56:08"
"19868","1","21","42.01","2020-11-19 00:56:38"
"19869","1","22","2.04","2020-11-19 00:56:38"
"19877","4","21","42.01","2020-11-19 00:56:38"
"19878","4","22","1.329","2020-11-19 00:56:38"
"19880","1","21","42.01","2020-11-19 00:57:08"
"19881","1","22","2.333","2020-11-19 00:57:08"
"19883","2","21","42.01","2020-11-19 00:57:08"
"19889","4","21","42.01","2020-11-19 00:57:08"
"19892","1","21","42.01","2020-11-19 00:57:38"
"19893","1","22","2.291","2020-11-19 00:57:38"
"19904","1","21","42.01","2020-11-19 00:58:08"
"19905","1","22","1.936","2020-11-19 00:58:08"
"19916","1","21","42.01","2020-11-19 00:58:38"
"19917","1","22","1.925","2020-11-19 00:58:38"
"19928","1","21","42.01","2020-11-19 00:59:08"
"19929","1","22","2.299","2020-11-19 00:59:08"
"19955","2","21","42.01","2020-11-19 01:00:08"
"19961","4","21","42.01","2020-11-19 01:00:08"
"19962","4","22","1.303","2020-11-19 01:00:08"
"19973","4","21","42.01","2020-11-19 01:00:38"
"19974","4","22","1.275","2020-11-19 01:00:38"
"20000","1","21","42.01","2020-11-19 01:03:17"
"20001","1","22","1.904","2020-11-19 01:03:17"
"20007","3","22","2.506","2020-11-19 01:03:17"
"20012","1","21","41.93","2020-11-19 01:03:47"
"20013","1","22","1.815","2020-11-19 01:03:47"
"20018","3","21","38.96","2020-11-19 01:03:47"
"20019","3","22","2.505","2020-11-19 01:03:47"
